Time,PV,OUT
2025-03-03 17:19:14,25.91,35.0
2025-03-03 17:19:16,25.83,35.0
2025-03-03 17:19:26,25.13,35.0
2025-03-03 17:19:28,24.91,35.0
2025-03-03 17:19:32,,50.0
2025-03-03 17:19:38,23.82,50.0
2025-03-03 17:19:40,23.54,50.0
2025-03-03 17:19:50,22.22,50.0
2025-03-03 17:19:52,21.93,50.0
2025-03-03 17:20:02,20.31,50.0
2025-03-03 17:20:04,20.0,50.0
2025-03-03 17:20:08,,55.0
2025-03-03 17:20:10,,60.0
2025-03-03 17:20:14,18.39,60.0
2025-03-03 17:20:16,18.1,60.0
2025-03-03 17:20:26,16.85,60.0
2025-03-03 17:20:28,16.62,60.0
2025-03-03 17:20:36,,70.0
2025-03-03 17:20:38,15.73,70.0
2025-03-03 17:20:40,15.57,70.0
2025-03-03 17:20:42,,95.0
2025-03-03 17:20:44,,100.0
2025-03-03 17:20:50,15.08,100.0
2025-03-03 17:20:54,15.1,100.0
2025-03-03 17:21:02,14.76,100.0
2025-03-03 17:21:04,14.61,100.0
2025-03-03 17:21:14,13.97,100.0
2025-03-03 17:21:16,13.9,100.0
2025-03-03 17:21:26,14.54,100.0
2025-03-03 17:21:28,14.8,100.0
2025-03-03 17:21:38,15.9,100.0
2025-03-03 17:21:40,16.11,90.0
2025-03-03 17:21:44,,55.0
2025-03-03 17:21:50,17.03,55.0
2025-03-03 17:21:52,17.17,55.0
2025-03-03 17:22:02,17.58,55.0
2025-03-03 17:22:04,17.69,55.0
2025-03-03 17:22:14,17.98,55.0
2025-03-03 17:22:16,18.07,55.0
2025-03-03 17:22:26,18.43,55.0
2025-03-03 17:22:28,18.48,55.0
2025-03-03 17:22:40,18.98,55.0
2025-03-03 17:22:42,19.06,55.0
2025-03-03 17:22:52,19.45,55.0
2025-03-03 17:22:54,19.52,55.0
2025-03-03 17:23:04,19.9,55.0
2025-03-03 17:23:06,19.97,55.0
2025-03-03 17:23:16,20.38,55.0
2025-03-03 17:23:18,20.45,55.0
2025-03-03 17:23:28,20.88,55.0
2025-03-03 17:23:30,20.97,55.0
2025-03-03 17:23:40,21.37,55.0
2025-03-03 17:23:42,21.45,55.0
2025-03-03 17:23:52,21.81,55.0
2025-03-03 17:23:54,21.88,55.0
2025-03-03 17:24:04,22.22,55.0
2025-03-03 17:24:06,22.29,55.0
2025-03-03 17:24:16,22.62,55.0
2025-03-03 17:24:18,22.69,55.0
2025-03-03 17:24:28,23.05,55.0
2025-03-03 17:24:30,23.13,55.0
2025-03-03 17:24:40,23.46,55.0
2025-03-03 17:24:42,23.52,55.0
2025-03-03 17:24:52,23.83,55.0
2025-03-03 17:24:54,23.88,55.0
2025-03-03 17:25:04,24.15,55.0
2025-03-03 17:25:06,24.2,55.0
2025-03-03 17:25:16,24.51,55.0
2025-03-03 17:25:18,24.57,55.0
2025-03-03 17:25:28,24.87,55.0
2025-03-03 17:25:30,24.92,55.0
2025-03-03 17:25:40,25.22,55.0
2025-03-03 17:25:42,25.27,55.0
2025-03-03 17:25:52,25.55,55.0
2025-03-03 17:25:54,25.61,55.0
2025-03-03 17:26:04,25.91,55.0
2025-03-03 17:26:06,25.97,55.0
2025-03-03 17:26:16,26.28,55.0
2025-03-03 17:26:18,26.34,55.0
2025-03-03 17:26:28,26.65,55.0
2025-03-03 17:26:30,26.72,55.0
2025-03-03 17:26:40,27.03,55.0
2025-03-03 17:26:42,27.09,55.0
2025-03-03 17:26:54,27.46,55.0
2025-03-03 17:26:56,27.52,55.0
2025-03-03 17:27:06,27.84,55.0
2025-03-03 17:27:08,27.9,55.0
2025-03-03 17:27:18,28.22,55.0
2025-03-03 17:27:20,28.28,55.0
2025-03-03 17:27:30,28.59,55.0
2025-03-03 17:27:32,28.65,55.0
2025-03-03 17:27:42,28.96,55.0
2025-03-03 17:27:44,29.02,55.0
2025-03-03 17:27:54,29.33,55.0
2025-03-03 17:27:56,29.4,55.0
2025-03-03 17:28:06,29.71,55.0
2025-03-03 17:28:08,29.76,55.0
2025-03-03 17:28:18,30.08,55.0
2025-03-03 17:28:20,30.15,55.0
2025-03-03 17:28:22,,5.0
2025-03-03 17:28:30,30.4,5.0
2025-03-03 17:28:32,30.41,5.0
2025-03-03 17:28:42,30.57,5.0
2025-03-03 17:28:44,30.61,5.0
2025-03-03 17:28:54,30.96,5.0
2025-03-03 17:28:56,31.04,5.0
2025-03-03 17:29:06,31.41,5.0
2025-03-03 17:29:08,31.49,5.0
2025-03-03 17:29:18,31.9,5.0
2025-03-03 17:29:20,31.96,5.0
2025-03-03 17:29:30,32.31,5.0
2025-03-03 17:29:32,32.38,5.0
2025-03-03 17:29:42,32.75,5.0
2025-03-03 17:29:44,32.82,5.0
2025-03-03 17:29:54,33.1,5.0
2025-03-03 17:29:56,33.15,5.0
2025-03-03 17:30:06,33.43,5.0
2025-03-03 17:30:08,33.47,5.0
2025-03-03 17:30:18,33.69,5.0
2025-03-03 17:30:20,33.72,5.0
2025-03-03 17:30:30,33.93,5.0
2025-03-03 17:30:32,33.99,5.0
2025-03-03 17:30:42,34.18,5.0
2025-03-03 17:30:44,34.21,5.0
2025-03-03 17:30:56,34.39,5.0
2025-03-03 17:30:58,34.42,5.0
