Time,PV,OUT
2025-03-03 17:34:34,33.88,
2025-03-03 17:34:44,33.74,
2025-03-03 17:34:56,33.76,
2025-03-03 17:34:58,33.78,
2025-03-03 17:35:00,33.79,
2025-03-03 17:35:08,33.83,
2025-03-03 17:35:20,33.81,
2025-03-03 17:35:24,33.8,
2025-03-03 17:35:40,33.79,
2025-03-03 17:35:46,33.77,
2025-03-03 17:35:50,33.74,
2025-03-03 17:35:58,33.69,
2025-03-03 17:36:00,33.67,
2025-03-03 17:36:10,33.55,
2025-03-03 17:36:12,33.51,
2025-03-03 17:36:22,33.32,
2025-03-03 17:36:24,33.29,
2025-03-03 17:36:34,33.1,
2025-03-03 17:36:36,33.06,
2025-03-03 17:36:46,32.75,
2025-03-03 17:36:48,32.64,
2025-03-03 17:36:58,32.23,
2025-03-03 17:37:00,32.16,
2025-03-03 17:37:10,31.82,
2025-03-03 17:37:12,31.75,
2025-03-03 17:37:22,31.47,
2025-03-03 17:37:24,31.43,
2025-03-03 17:37:30,,20.0
2025-03-03 17:37:34,31.13,40.0
2025-03-03 17:37:36,31.08,
2025-03-03 17:37:46,30.8,
2025-03-03 17:37:48,30.75,
2025-03-03 17:37:58,30.47,
2025-03-03 17:38:00,30.42,
2025-03-03 17:38:10,29.91,
2025-03-03 17:38:12,29.82,
2025-03-03 17:38:22,29.16,
2025-03-03 17:38:24,29.02,
2025-03-03 17:38:34,28.24,
2025-03-03 17:38:36,28.08,
2025-03-03 17:38:46,27.27,
2025-03-03 17:38:48,27.11,
2025-03-03 17:38:58,26.25,
2025-03-03 17:39:00,26.07,
2025-03-03 17:39:12,24.95,
2025-03-03 17:39:14,24.75,
2025-03-03 17:39:24,23.63,
2025-03-03 17:39:26,23.38,
2025-03-03 17:39:36,22.24,
2025-03-03 17:39:38,22.02,
2025-03-03 17:39:48,20.86,
2025-03-03 17:39:50,20.64,
2025-03-03 17:40:00,19.67,
2025-03-03 17:40:02,19.47,
2025-03-03 17:40:07,,50.0
